Age,YearlyIncome,CommuteDistance,HouseOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,Region,EnglishOccupation
52,80000,1-2 Miles,1,2,0,Pacific,Skilled Manual
57,80000,5-10 Miles,1,2,0,Pacific,Skilled Manual
57,80000,5-10 Miles,1,2,0,Pacific,Skilled Manual
41,80000,5-10 Miles,1,2,0,Pacific,Skilled Manual
36,40000,5-10 Miles,1,2,0,North America,Skilled Manual
36,40000,5-10 Miles,1,2,0,North America,Skilled Manual
36,40000,5-10 Miles,1,2,0,North America,Skilled Manual
38,60000,1-2 Miles,0,2,0,North America,Skilled Manual
38,70000,5-10 Miles,1,2,0,North America,Professional
35,60000,5-10 Miles,1,2,0,North America,Professional
50,80000,5-10 Miles,1,2,0,Pacific,Skilled Manual
50,80000,1-2 Miles,0,2,0,Pacific,Skilled Manual
56,80000,5-10 Miles,1,2,0,Pacific,Skilled Manual
56,80000,5-10 Miles,1,2,0,Pacific,Skilled Manual
56,80000,1-2 Miles,0,2,0,Pacific,Skilled Manual
55,70000,5-10 Miles,1,2,0,Pacific,Skilled Manual
55,70000,5-10 Miles,1,2,0,Pacific,Skilled Manual
54,80000,5-10 Miles,1,2,0,Pacific,Professional
54,80000,5-10 Miles,1,2,0,Pacific,Professional
54,80000,1-2 Miles,0,2,0,Pacific,Professional
32,40000,1-2 Miles,0,2,0,North America,Professional
47,160000,0-1 Miles,1,2,0,Pacific,Management
52,170000,0-1 Miles,1,2,0,Pacific,Management
45,120000,2-5 Miles,1,3,2,North America,Management
45,130000,1-2 Miles,0,3,1,North America,Management
40,130000,1-2 Miles,1,3,1,North America,Management
54,80000,1-2 Miles,0,2,0,North America,Skilled Manual
54,60000,5-10 Miles,0,2,0,North America,Professional
53,70000,0-1 Miles,1,0,1,North America,Professional
54,70000,0-1 Miles,0,0,2,North America,Professional
54,80000,2-5 Miles,1,0,1,North America,Management
54,80000,2-5 Miles,1,1,1,North America,Management
48,90000,2-5 Miles,1,1,0,North America,Professional
54,90000,5-10 Miles,1,1,0,North America,Professional
44,90000,1-2 Miles,1,0,2,Pacific,Professional
38,100000,0-1 Miles,1,0,0,Pacific,Management
49,70000,0-1 Miles,0,1,0,Pacific,Skilled Manual
49,70000,5-10 Miles,1,1,0,Pacific,Skilled Manual
49,60000,5-10 Miles,1,1,0,Pacific,Professional
44,60000,5-10 Miles,1,1,0,Pacific,Skilled Manual
50,60000,0-1 Miles,0,1,0,Pacific,Skilled Manual
50,60000,0-1 Miles,1,1,0,Pacific,Professional
51,60000,5-10 Miles,1,1,0,Pacific,Skilled Manual
46,70000,0-1 Miles,0,1,0,Pacific,Professional
46,80000,1-2 Miles,1,4,5,Pacific,Professional
36,70000,5-10 Miles,1,1,0,Pacific,Professional
42,70000,0-1 Miles,0,1,0,Pacific,Professional
46,70000,5-10 Miles,0,1,0,Pacific,Professional
47,70000,5-10 Miles,0,1,0,Pacific,Professional
41,90000,5-10 Miles,1,1,0,Pacific,Professional
48,70000,0-1 Miles,0,2,0,Pacific,Professional
37,70000,0-1 Miles,0,2,0,Pacific,Professional
49,60000,5-10 Miles,1,1,0,Pacific,Skilled Manual
49,60000,0-1 Miles,1,1,0,Pacific,Skilled Manual
49,60000,0-1 Miles,1,1,0,Pacific,Skilled Manual
44,70000,5-10 Miles,1,2,4,Pacific,Professional
49,70000,5-10 Miles,1,2,4,Pacific,Skilled Manual
49,70000,0-1 Miles,1,2,4,Pacific,Skilled Manual
38,70000,5-10 Miles,1,2,4,Pacific,Skilled Manual
50,70000,10+ Miles,1,3,4,Pacific,Skilled Manual
54,80000,0-1 Miles,0,1,0,Pacific,Skilled Manual
76,30000,0-1 Miles,0,2,0,Pacific,Clerical
75,40000,5-10 Miles,1,1,0,Pacific,Management
51,70000,10+ Miles,1,3,4,Pacific,Skilled Manual
51,70000,5-10 Miles,1,3,4,Pacific,Skilled Manual
51,70000,10+ Miles,1,3,4,Pacific,Skilled Manual
48,80000,5-10 Miles,1,1,0,Pacific,Skilled Manual
55,70000,5-10 Miles,1,1,0,Pacific,Skilled Manual
62,10000,0-1 Miles,0,2,1,Pacific,Skilled Manual
36,40000,5-10 Miles,1,1,0,North America,Skilled Manual
36,40000,5-10 Miles,1,1,0,North America,Skilled Manual
36,40000,5-10 Miles,1,1,0,North America,Skilled Manual
31,30000,5-10 Miles,1,2,0,North America,Skilled Manual
31,30000,0-1 Miles,0,2,0,North America,Skilled Manual
31,30000,5-10 Miles,0,2,0,North America,Skilled Manual
31,30000,0-1 Miles,0,2,0,North America,Clerical
60,10000,5-10 Miles,1,2,0,Pacific,Skilled Manual
32,30000,5-10 Miles,0,2,0,North America,Clerical
33,40000,0-1 Miles,0,2,0,North America,Skilled Manual
33,40000,5-10 Miles,1,2,0,North America,Skilled Manual
33,40000,0-1 Miles,0,2,0,North America,Skilled Manual
67,30000,5-10 Miles,0,2,0,Pacific,Clerical
34,30000,5-10 Miles,0,2,0,North America,Clerical
34,40000,0-1 Miles,0,2,0,North America,Skilled Manual
34,40000,0-1 Miles,0,2,0,North America,Skilled Manual
34,40000,5-10 Miles,1,2,0,North America,Skilled Manual
32,40000,0-1 Miles,0,2,0,North America,Skilled Manual
32,40000,0-1 Miles,0,2,0,North America,Skilled Manual
72,40000,5-10 Miles,1,2,0,Pacific,Management
72,60000,0-1 Miles,1,1,0,Pacific,Management
70,40000,5-10 Miles,1,2,0,Pacific,Management
70,40000,0-1 Miles,1,2,0,Pacific,Management
70,40000,5-10 Miles,1,2,0,Pacific,Management
69,60000,0-1 Miles,0,1,0,Pacific,Management
35,40000,5-10 Miles,1,2,0,North America,Skilled Manual
35,40000,5-10 Miles,1,2,0,North America,Skilled Manual
35,40000,5-10 Miles,1,1,0,North America,Skilled Manual
35,40000,1-2 Miles,0,1,0,North America,Skilled Manual
35,40000,1-2 Miles,0,1,0,North America,Skilled Manual
36,40000,5-10 Miles,1,2,0,North America,Skilled Manual
36,40000,5-10 Miles,1,2,0,North America,Skilled Manual
36,40000,1-2 Miles,0,2,0,North America,Skilled Manual
37,40000,5-10 Miles,0,1,0,North America,Skilled Manual
37,40000,1-2 Miles,0,1,0,North America,Skilled Manual
37,40000,5-10 Miles,1,1,0,North America,Skilled Manual
36,40000,5-10 Miles,1,1,0,North America,Skilled Manual
37,40000,1-2 Miles,0,1,0,North America,Skilled Manual
38,60000,1-2 Miles,0,1,0,North America,Skilled Manual
39,70000,0-1 Miles,0,2,0,North America,Skilled Manual
39,80000,0-1 Miles,0,1,0,North America,Management
43,80000,0-1 Miles,0,1,0,North America,Management
43,90000,0-1 Miles,1,1,4,North America,Management
43,90000,0-1 Miles,1,1,4,North America,Management
38,100000,1-2 Miles,1,2,0,North America,Management
44,100000,1-2 Miles,1,2,0,North America,Management
44,110000,0-1 Miles,0,4,0,North America,Management
44,110000,2-5 Miles,1,0,1,North America,Management
48,70000,5-10 Miles,1,2,0,North America,Skilled Manual
38,90000,1-2 Miles,1,1,4,North America,Management
69,110000,5-10 Miles,1,2,4,North America,Management
62,100000,1-2 Miles,1,3,3,North America,Management
57,120000,5-10 Miles,1,3,4,North America,Management
68,160000,0-1 Miles,1,4,3,North America,Management
57,170000,0-1 Miles,1,2,3,North America,Management
67,70000,10+ Miles,1,2,0,North America,Management
67,70000,10+ Miles,1,2,0,North America,Management
61,70000,10+ Miles,1,2,0,North America,Management
67,70000,10+ Miles,1,2,0,North America,Management
67,70000,10+ Miles,1,2,0,North America,Management
67,60000,10+ Miles,1,2,0,North America,Management
67,60000,1-2 Miles,0,2,0,North America,Management
67,60000,10+ Miles,1,2,0,North America,Management
67,70000,10+ Miles,1,2,0,North America,Management
65,70000,10+ Miles,1,3,0,North America,Management
66,60000,2-5 Miles,1,2,0,North America,Management
66,60000,2-5 Miles,1,2,0,North America,Management
66,60000,2-5 Miles,1,2,0,North America,Management
65,60000,10+ Miles,1,3,0,North America,Management
65,60000,10+ Miles,1,3,0,North America,Management
65,70000,1-2 Miles,0,1,1,North America,Management
65,70000,10+ Miles,1,1,1,North America,Management
59,70000,10+ Miles,1,1,1,North America,Management
64,70000,1-2 Miles,1,1,1,North America,Management
64,70000,10+ Miles,1,1,1,North America,Management
58,80000,1-2 Miles,0,2,0,North America,Management
57,40000,10+ Miles,1,2,1,North America,Professional
63,40000,2-5 Miles,1,2,1,North America,Professional
63,40000,10+ Miles,1,2,1,North America,Professional
63,60000,10+ Miles,1,1,1,North America,Professional
63,60000,10+ Miles,1,1,1,North America,Professional
63,60000,10+ Miles,1,0,1,North America,Management
63,60000,10+ Miles,1,0,1,North America,Management
63,70000,10+ Miles,1,2,1,North America,Professional
56,40000,2-5 Miles,1,2,1,North America,Professional
62,40000,2-5 Miles,1,2,1,North America,Professional
62,60000,10+ Miles,1,2,1,North America,Professional
62,60000,10+ Miles,1,2,1,North America,Professional
55,40000,10+ Miles,1,2,1,North America,Skilled Manual
61,60000,10+ Miles,1,2,1,North America,Professional
61,60000,10+ Miles,1,2,1,North America,Professional
55,60000,2-5 Miles,0,2,1,North America,Professional
61,60000,10+ Miles,1,2,1,North America,Professional
56,60000,10+ Miles,1,1,1,North America,Professional
61,70000,1-2 Miles,1,1,2,North America,Professional
61,80000,1-2 Miles,1,1,1,North America,Management
60,70000,2-5 Miles,1,2,1,North America,Professional
60,70000,10+ Miles,1,2,1,North America,Professional
55,60000,10+ Miles,1,1,1,North America,Professional
54,60000,2-5 Miles,1,1,1,North America,Professional
54,60000,10+ Miles,1,2,1,North America,Professional
60,60000,10+ Miles,1,2,1,North America,Professional
60,70000,10+ Miles,1,1,2,North America,Professional
60,70000,2-5 Miles,0,2,2,North America,Professional
53,60000,10+ Miles,1,2,1,North America,Professional
59,60000,2-5 Miles,0,2,1,North America,Professional
53,70000,10+ Miles,1,2,2,North America,Professional
59,70000,10+ Miles,1,2,2,North America,Professional
59,70000,10+ Miles,1,2,2,North America,Professional
59,70000,10+ Miles,1,2,2,North America,Professional
53,130000,0-1 Miles,0,4,3,Europe,Management
53,130000,0-1 Miles,0,4,3,Europe,Management
47,130000,5-10 Miles,0,2,4,Europe,Professional
52,160000,5-10 Miles,1,4,3,Europe,Professional
43,100000,5-10 Miles,1,4,3,Europe,Professional
54,110000,5-10 Miles,1,3,4,Europe,Professional
54,150000,0-1 Miles,1,3,3,Europe,Professional
48,170000,0-1 Miles,0,3,3,Europe,Management
55,120000,5-10 Miles,0,4,4,Europe,Professional
55,120000,5-10 Miles,0,4,4,Europe,Professional
55,130000,0-1 Miles,0,3,4,Europe,Professional
51,110000,10+ Miles,1,4,4,Europe,Professional
50,130000,0-1 Miles,1,3,4,Europe,Professional
51,170000,5-10 Miles,1,2,4,Europe,Professional
79,30000,5-10 Miles,0,2,0,North America,Professional
79,90000,2-5 Miles,1,1,0,North America,Management
67,60000,1-2 Miles,1,2,0,North America,Management
78,70000,5-10 Miles,1,2,0,North America,Management
78,70000,5-10 Miles,1,2,0,North America,Management
78,70000,5-10 Miles,1,2,0,North America,Management
78,120000,2-5 Miles,1,4,2,North America,Management
78,120000,2-5 Miles,1,4,2,North America,Management
46,100000,2-5 Miles,1,4,1,North America,Professional
41,110000,2-5 Miles,1,3,2,North America,Management
46,130000,0-1 Miles,1,1,2,North America,Management
42,80000,0-1 Miles,1,0,3,North America,Management
47,90000,2-5 Miles,1,3,5,North America,Professional
47,90000,0-1 Miles,0,3,5,North America,Professional
47,90000,0-1 Miles,1,3,5,North America,Professional
47,90000,5-10 Miles,0,1,0,North America,Professional
41,120000,2-5 Miles,1,4,2,North America,Professional
47,130000,1-2 Miles,1,2,2,North America,Management
41,130000,0-1 Miles,1,2,2,North America,Management
42,130000,0-1 Miles,1,3,2,North America,Management
47,150000,1-2 Miles,0,4,0,North America,Management
55,70000,5-10 Miles,1,0,3,North America,Professional
55,90000,10+ Miles,1,0,1,North America,Professional
77,50000,5-10 Miles,1,2,0,North America,Management
77,80000,0-1 Miles,1,2,0,North America,Management
42,80000,2-5 Miles,1,2,3,North America,Professional
48,80000,0-1 Miles,1,2,3,North America,Professional
48,90000,10+ Miles,0,1,0,North America,Professional
42,90000,10+ Miles,1,1,0,North America,Professional
48,90000,10+ Miles,1,1,0,North America,Professional
42,110000,5-10 Miles,1,4,2,North America,Management
49,90000,1-2 Miles,1,4,4,North America,Professional
49,110000,1-2 Miles,1,2,3,North America,Management
49,110000,1-2 Miles,1,2,3,North America,Management
44,120000,2-5 Miles,0,4,3,North America,Professional
49,170000,2-5 Miles,1,4,0,North America,Management
50,70000,5-10 Miles,0,3,4,North America,Professional
39,110000,2-5 Miles,1,3,3,North America,Management
45,130000,0-1 Miles,1,1,3,North America,Management
44,130000,2-5 Miles,1,3,3,North America,Management
45,130000,2-5 Miles,1,3,3,North America,Management
50,150000,0-1 Miles,0,3,2,North America,Professional
56,60000,1-2 Miles,0,2,0,North America,Professional
56,60000,1-2 Miles,0,2,0,North America,Professional
57,80000,5-10 Miles,1,2,0,North America,Skilled Manual
76,50000,5-10 Miles,1,2,0,North America,Management
76,70000,5-10 Miles,1,2,0,North America,Management
76,70000,1-2 Miles,1,2,0,North America,Management
75,70000,1-2 Miles,1,2,0,North America,Management
51,80000,1-2 Miles,0,3,4,North America,Professional
51,80000,5-10 Miles,1,4,4,North America,Professional
45,90000,1-2 Miles,0,3,3,North America,Professional
51,90000,1-2 Miles,0,3,3,North America,Professional
46,100000,5-10 Miles,1,0,3,North America,Professional
51,110000,2-5 Miles,0,4,3,North America,Professional
51,110000,2-5 Miles,0,4,3,North America,Professional
51,80000,5-10 Miles,1,2,0,North America,Skilled Manual
57,60000,1-2 Miles,0,2,0,North America,Professional
57,60000,5-10 Miles,1,2,0,North America,Professional
52,70000,5-10 Miles,1,2,0,North America,Management
58,70000,1-2 Miles,0,2,0,North America,Management
58,70000,5-10 Miles,1,2,0,North America,Management
58,70000,5-10 Miles,1,2,0,North America,Management
46,70000,1-2 Miles,0,2,0,North America,Management
58,70000,1-2 Miles,0,2,0,North America,Management
58,60000,5-10 Miles,1,2,0,North America,Management
53,40000,5-10 Miles,0,2,0,North America,Professional
59,40000,1-2 Miles,0,2,0,North America,Professional
69,70000,1-2 Miles,0,2,0,North America,Management
74,80000,5-10 Miles,1,2,0,North America,Management
73,90000,5-10 Miles,1,2,0,North America,Management
73,90000,5-10 Miles,1,2,0,North America,Management
73,120000,5-10 Miles,1,3,4,North America,Management
72,90000,1-2 Miles,1,2,0,North America,Management
72,90000,5-10 Miles,1,2,0,North America,Management
72,130000,0-1 Miles,1,4,3,North America,Management
71,90000,5-10 Miles,1,2,0,North America,Management
71,90000,5-10 Miles,1,2,0,North America,Management
71,90000,5-10 Miles,1,2,0,North America,Management
71,110000,2-5 Miles,1,1,4,North America,Management
43,90000,1-2 Miles,1,2,4,North America,Skilled Manual
49,10000,0-1 Miles,1,0,0,Europe,Manual
49,20000,0-1 Miles,1,0,0,Europe,Clerical
50,10000,0-1 Miles,1,0,0,Europe,Manual
39,10000,0-1 Miles,1,0,0,Europe,Manual
44,20000,0-1 Miles,1,0,0,Europe,Clerical
50,10000,0-1 Miles,1,0,0,Europe,Manual
44,20000,0-1 Miles,1,0,0,Europe,Clerical
50,20000,0-1 Miles,1,0,0,Europe,Clerical
70,10000,0-1 Miles,1,0,0,Europe,Clerical
75,20000,0-1 Miles,1,0,0,Europe,Clerical
44,30000,0-1 Miles,1,0,0,Europe,Clerical
42,10000,0-1 Miles,1,0,0,Europe,Manual
54,10000,0-1 Miles,1,0,0,Europe,Manual
54,10000,0-1 Miles,1,0,0,Europe,Manual
51,10000,0-1 Miles,1,1,0,Europe,Manual
44,10000,0-1 Miles,1,1,0,Europe,Manual
56,10000,0-1 Miles,1,1,0,Europe,Manual
51,10000,2-5 Miles,1,1,0,Europe,Manual
74,30000,0-1 Miles,1,0,0,Europe,Clerical
67,20000,0-1 Miles,1,0,0,Europe,Clerical
71,10000,0-1 Miles,1,1,0,Europe,Manual
70,30000,0-1 Miles,1,0,0,Europe,Clerical
69,20000,0-1 Miles,1,0,0,Europe,Manual
68,40000,0-1 Miles,1,0,0,Europe,Clerical
31,10000,2-5 Miles,0,1,0,Pacific,Manual
32,10000,2-5 Miles,0,1,0,Pacific,Manual
33,10000,0-1 Miles,0,1,0,Pacific,Manual
33,10000,0-1 Miles,0,1,0,Pacific,Manual
33,10000,2-5 Miles,1,1,0,Pacific,Manual
34,10000,0-1 Miles,1,2,0,Pacific,Manual
34,10000,0-1 Miles,0,2,0,Pacific,Manual
34,10000,0-1 Miles,0,2,0,Pacific,Manual
32,10000,2-5 Miles,0,0,1,Pacific,Manual
32,10000,1-2 Miles,0,0,1,Pacific,Manual
32,20000,0-1 Miles,1,0,0,Pacific,Clerical
32,20000,0-1 Miles,1,0,0,Pacific,Clerical
33,10000,1-2 Miles,0,0,1,Pacific,Manual
33,20000,0-1 Miles,0,0,0,Pacific,Clerical
33,20000,0-1 Miles,1,0,0,Pacific,Clerical
33,20000,0-1 Miles,1,0,0,Pacific,Clerical
33,20000,0-1 Miles,1,0,0,Pacific,Clerical
62,30000,0-1 Miles,1,0,0,Europe,Clerical
68,30000,0-1 Miles,1,0,0,Europe,Clerical
68,30000,0-1 Miles,1,0,0,Europe,Clerical
68,40000,0-1 Miles,1,0,0,Europe,Clerical
50,30000,0-1 Miles,1,0,0,Europe,Clerical
51,10000,2-5 Miles,0,1,1,Europe,Manual
41,10000,2-5 Miles,1,1,1,Europe,Manual
52,20000,1-2 Miles,1,1,0,Europe,Manual
46,20000,2-5 Miles,1,1,0,Europe,Manual
42,20000,2-5 Miles,1,1,0,Europe,Manual
51,30000,0-1 Miles,1,0,0,Europe,Clerical
45,30000,0-1 Miles,1,0,0,Europe,Clerical
45,30000,0-1 Miles,1,0,0,Europe,Clerical
45,30000,0-1 Miles,1,0,0,Europe,Clerical
52,40000,0-1 Miles,1,0,0,Europe,Clerical
52,40000,0-1 Miles,1,0,0,Europe,Clerical
36,10000,2-5 Miles,0,1,1,Europe,Manual
41,10000,2-5 Miles,0,1,1,Europe,Manual
40,10000,0-1 Miles,1,0,2,Europe,Manual
36,10000,0-1 Miles,1,0,2,Europe,Manual
42,10000,0-1 Miles,1,0,2,Europe,Manual
42,10000,0-1 Miles,1,0,2,Europe,Manual
41,30000,0-1 Miles,1,0,0,Europe,Clerical
42,10000,0-1 Miles,0,1,2,Europe,Manual
42,20000,0-1 Miles,0,1,0,Europe,Manual
42,30000,0-1 Miles,1,0,0,Europe,Clerical
42,30000,0-1 Miles,1,0,0,Europe,Clerical
37,40000,0-1 Miles,1,0,0,Europe,Clerical
42,40000,0-1 Miles,1,0,0,Europe,Clerical
42,40000,0-1 Miles,1,0,0,Europe,Clerical
37,40000,0-1 Miles,1,0,0,Europe,Clerical
59,10000,0-1 Miles,0,2,0,Europe,Manual
59,10000,0-1 Miles,0,2,0,Europe,Manual
59,20000,2-5 Miles,1,1,0,Europe,Manual
59,20000,0-1 Miles,1,1,0,Europe,Manual
53,10000,0-1 Miles,0,2,1,Europe,Manual
38,10000,0-1 Miles,1,1,2,Europe,Manual
43,20000,2-5 Miles,1,0,1,Europe,Manual
57,80000,2-5 Miles,0,1,2,Europe,Professional
57,80000,10+ Miles,1,1,2,Europe,Professional
57,80000,2-5 Miles,0,1,2,Europe,Professional
57,80000,10+ Miles,1,1,2,Europe,Professional
67,90000,10+ Miles,0,2,0,Europe,Professional
66,60000,2-5 Miles,1,4,1,Europe,Skilled Manual
66,70000,10+ Miles,1,2,1,Europe,Professional
66,90000,10+ Miles,0,2,0,Europe,Professional
66,150000,0-1 Miles,1,4,4,Europe,Management
65,100000,10+ Miles,1,4,3,Europe,Management
65,110000,5-10 Miles,1,4,4,Europe,Management
65,170000,5-10 Miles,1,3,4,Europe,Management
57,80000,2-5 Miles,0,1,2,Europe,Professional
52,80000,10+ Miles,1,2,2,Europe,Professional
51,90000,10+ Miles,1,2,2,Europe,Professional
58,110000,10+ Miles,1,4,4,Europe,Management
57,110000,10+ Miles,1,2,5,Europe,Professional
58,120000,10+ Miles,1,2,5,Europe,Management
59,80000,10+ Miles,1,2,1,Europe,Professional
59,90000,10+ Miles,1,2,1,Europe,Professional
42,110000,10+ Miles,1,2,5,Europe,Professional
60,80000,10+ Miles,1,2,2,Europe,Professional
60,80000,2-5 Miles,0,2,2,Europe,Professional
55,170000,0-1 Miles,1,4,5,Europe,Professional
61,100000,10+ Miles,1,4,4,Europe,Management
61,160000,10+ Miles,0,4,5,Europe,Management
61,90000,10+ Miles,1,3,1,Europe,Management
62,130000,0-1 Miles,1,4,5,Europe,Management
63,90000,5-10 Miles,0,3,1,Europe,Management
64,80000,5-10 Miles,0,2,0,Europe,Skilled Manual
64,90000,5-10 Miles,0,2,0,Europe,Skilled Manual
64,90000,10+ Miles,1,2,0,Europe,Skilled Manual
35,60000,2-5 Miles,0,4,0,Pacific,Professional
35,70000,10+ Miles,1,3,0,Pacific,Professional
37,70000,10+ Miles,0,3,0,Pacific,Professional
37,70000,10+ Miles,0,3,0,Pacific,Professional
37,70000,10+ Miles,1,4,0,Pacific,Professional
36,80000,10+ Miles,1,3,0,Pacific,Professional
36,80000,10+ Miles,1,3,0,Pacific,Professional
36,130000,0-1 Miles,1,4,5,Pacific,Management
37,70000,10+ Miles,0,4,0,Pacific,Professional
38,80000,10+ Miles,0,3,0,Pacific,Professional
32,80000,10+ Miles,0,3,0,Pacific,Professional
37,80000,10+ Miles,0,3,0,Pacific,Professional
37,100000,10+ Miles,1,2,5,Pacific,Management
37,120000,10+ Miles,1,4,5,Pacific,Professional
38,90000,10+ Miles,1,3,0,Pacific,Professional
38,100000,10+ Miles,1,2,5,Pacific,Management
39,80000,10+ Miles,0,3,0,Pacific,Professional
33,90000,10+ Miles,0,3,0,Pacific,Professional
39,90000,10+ Miles,0,3,0,Pacific,Professional
39,110000,10+ Miles,1,4,5,Pacific,Management
39,110000,10+ Miles,0,4,5,Pacific,Management
40,90000,10+ Miles,1,4,0,Pacific,Professional
40,90000,10+ Miles,0,4,0,Pacific,Professional
40,150000,10+ Miles,1,4,5,Pacific,Management
42,170000,0-1 Miles,1,4,5,Pacific,Management
36,40000,1-2 Miles,1,0,1,Europe,Skilled Manual
38,10000,1-2 Miles,0,2,0,Europe,Manual
38,20000,0-1 Miles,0,2,0,Europe,Manual
38,30000,2-5 Miles,1,1,0,Europe,Clerical
48,60000,5-10 Miles,1,2,2,Pacific,Professional
31,20000,1-2 Miles,0,2,0,Europe,Manual
31,20000,1-2 Miles,1,2,0,Europe,Manual
33,30000,1-2 Miles,0,1,0,Europe,Manual
37,40000,1-2 Miles,1,0,1,Europe,Skilled Manual
32,30000,1-2 Miles,0,1,0,Europe,Manual
33,30000,2-5 Miles,0,1,0,Europe,Manual
38,40000,1-2 Miles,1,0,1,Europe,Skilled Manual
33,40000,1-2 Miles,1,0,1,Europe,Skilled Manual
38,40000,1-2 Miles,1,0,1,Europe,Skilled Manual
39,30000,1-2 Miles,0,1,0,Europe,Manual
34,40000,0-1 Miles,1,1,1,Europe,Skilled Manual
34,40000,0-1 Miles,1,0,2,Europe,Clerical
39,40000,0-1 Miles,0,0,2,Europe,Clerical
35,10000,1-2 Miles,1,2,0,Europe,Manual
40,10000,1-2 Miles,0,2,0,Europe,Manual
40,20000,1-2 Miles,1,2,0,Europe,Manual
40,20000,1-2 Miles,0,2,0,Europe,Manual
40,20000,0-1 Miles,0,2,0,Europe,Manual
35,20000,0-1 Miles,0,2,0,Europe,Manual
34,30000,2-5 Miles,0,1,0,Europe,Manual
41,40000,1-2 Miles,1,0,2,Europe,Clerical
41,40000,1-2 Miles,1,0,2,Europe,Clerical
40,40000,1-2 Miles,1,1,2,Europe,Clerical
41,40000,0-1 Miles,1,2,2,Europe,Clerical
35,40000,1-2 Miles,1,2,2,Europe,Clerical
37,40000,1-2 Miles,1,2,3,North America,Clerical
37,40000,1-2 Miles,1,2,3,North America,Clerical
37,40000,0-1 Miles,1,0,0,North America,Skilled Manual
36,40000,1-2 Miles,1,2,3,North America,Clerical
36,40000,0-1 Miles,1,1,4,North America,Clerical
81,50000,1-2 Miles,1,0,0,North America,Skilled Manual
80,40000,0-1 Miles,1,1,0,North America,Skilled Manual
