"Age" "YearlyIncome" "CommuteDistance" "HouseOwnerFlag" "NumberCarsOwned" "NumberChildrenAtHome" "Region" "EnglishOccupation"
"258" "70" 0.6875 4 1 4 2 "North America" "Management"
"259" "70" 0.6875 4 1 4 2 "North America" "Management"
"260" "40" 0.5625 4 1 4 1 "North America" "Professional"
"261" "40" 0.625 4 1 3 2 "North America" "Management"
"262" "40" 0.75 1 1 1 2 "North America" "Management"
"263" "40" 0.4375 1 1 0 3 "North America" "Management"
"264" "40" 0.5 4 1 3 5 "North America" "Professional"
"265" "40" 0.5 1 0 3 5 "North America" "Professional"
"266" "40" 0.5 1 1 3 5 "North America" "Professional"
"267" "40" 0.5 5 0 1 0 "North America" "Professional"
"268" "40" 0.6875 4 1 4 2 "North America" "Professional"
"269" "40" 0.75 2 1 2 2 "North America" "Management"
"270" "40" 0.75 1 1 2 2 "North America" "Management"
"271" "40" 0.75 1 1 3 2 "North America" "Management"
"272" "40" 0.875 2 0 4 0 "North America" "Management"
"273" "50" 0.375 5 1 0 3 "North America" "Professional"
"274" "50" 0.5 3 1 0 1 "North America" "Professional"
"275" "70" 0.25 5 1 2 0 "North America" "Management"
"276" "70" 0.4375 1 1 2 0 "North America" "Management"
"277" "40" 0.4375 4 1 2 3 "North America" "Professional"
"278" "40" 0.4375 1 1 2 3 "North America" "Professional"
"279" "40" 0.5 3 0 1 0 "North America" "Professional"
"280" "40" 0.5 3 1 1 0 "North America" "Professional"
"281" "40" 0.5 3 1 1 0 "North America" "Professional"
"282" "40" 0.625 5 1 4 2 "North America" "Management"
"283" "40" 0.5 2 1 4 4 "North America" "Professional"
"284" "40" 0.625 2 1 2 3 "North America" "Management"
"285" "40" 0.625 2 1 2 3 "North America" "Management"
"286" "40" 0.6875 4 0 4 3 "North America" "Professional"
"287" "40" 1 4 1 4 0 "North America" "Management"
"288" "50" 0.375 5 0 3 4 "North America" "Professional"
"289" "30" 0.625 4 1 3 3 "North America" "Management"
"290" "40" 0.75 1 1 1 3 "North America" "Management"
"291" "40" 0.75 4 1 3 3 "North America" "Management"
"292" "40" 0.75 4 1 3 3 "North America" "Management"
"293" "50" 0.875 1 0 3 2 "North America" "Professional"
"294" "50" 0.3125 2 0 2 0 "North America" "Professional"
"295" "50" 0.3125 2 0 2 0 "North America" "Professional"
"296" "50" 0.4375 5 1 2 0 "North America" "Skilled Manual"
"297" "70" 0.25 5 1 2 0 "North America" "Management"
"298" "70" 0.375 5 1 2 0 "North America" "Management"
"299" "70" 0.375 2 1 2 0 "North America" "Management"
"300" "70" 0.375 2 1 2 0 "North America" "Management"
"301" "50" 0.4375 2 0 3 4 "North America" "Professional"
"302" "50" 0.4375 5 1 4 4 "North America" "Professional"
"303" "40" 0.5 2 0 3 3 "North America" "Professional"
"304" "50" 0.5 2 0 3 3 "North America" "Professional"
"305" "40" 0.5625 5 1 0 3 "North America" "Professional"
"306" "50" 0.625 4 0 4 3 "North America" "Professional"
"307" "50" 0.625 4 0 4 3 "North America" "Professional"
"308" "50" 0.4375 5 1 2 0 "North America" "Skilled Manual"
"309" "50" 0.3125 2 0 2 0 "North America" "Professional"
"310" "50" 0.3125 5 1 2 0 "North America" "Professional"
"311" "50" 0.375 5 1 2 0 "North America" "Management"
"312" "50" 0.375 2 0 2 0 "North America" "Management"
"313" "50" 0.375 5 1 2 0 "North America" "Management"
"314" "50" 0.375 5 1 2 0 "North America" "Management"
"315" "40" 0.375 2 0 2 0 "North America" "Management"
"316" "50" 0.375 2 0 2 0 "North America" "Management"
"317" "50" 0.3125 5 1 2 0 "North America" "Management"
"318" "50" 0.1875 5 0 2 0 "North America" "Professional"
"319" "50" 0.1875 2 0 2 0 "North America" "Professional"
"320" "60" 0.375 2 0 2 0 "North America" "Management"
"321" "70" 0.4375 5 1 2 0 "North America" "Management"
"322" "70" 0.5 5 1 2 0 "North America" "Management"
"323" "70" 0.5 5 1 2 0 "North America" "Management"
"324" "70" 0.6875 5 1 3 4 "North America" "Management"
"325" "70" 0.5 2 1 2 0 "North America" "Management"
"326" "70" 0.5 5 1 2 0 "North America" "Management"
"327" "70" 0.75 1 1 4 3 "North America" "Management"
"328" "70" 0.5 5 1 2 0 "North America" "Management"
"329" "70" 0.5 5 1 2 0 "North America" "Management"
"330" "70" 0.5 5 1 2 0 "North America" "Management"
"331" "70" 0.625 4 1 1 4 "North America" "Management"
"332" "40" 0.5 2 1 2 4 "North America" "Skilled Manual"
"333" "40" 0 1 1 0 0 "Europe" "Manual"
"334" "40" 0.0625 1 1 0 0 "Europe" "Clerical"
"335" "50" 0 1 1 0 0 "Europe" "Manual"
"336" "30" 0 1 1 0 0 "Europe" "Manual"
"337" "40" 0.0625 1 1 0 0 "Europe" "Clerical"
"338" "50" 0 1 1 0 0 "Europe" "Manual"
"339" "40" 0.0625 1 1 0 0 "Europe" "Clerical"
"340" "50" 0.0625 1 1 0 0 "Europe" "Clerical"
"341" "70" 0 1 1 0 0 "Europe" "Clerical"
"342" "70" 0.0625 1 1 0 0 "Europe" "Clerical"
"343" "40" 0.125 1 1 0 0 "Europe" "Clerical"
"344" "40" 0 1 1 0 0 "Europe" "Manual"
"345" "50" 0 1 1 0 0 "Europe" "Manual"
"346" "50" 0 1 1 0 0 "Europe" "Manual"
"347" "50" 0 1 1 1 0 "Europe" "Manual"
"348" "40" 0 1 1 1 0 "Europe" "Manual"
"349" "50" 0 1 1 1 0 "Europe" "Manual"
"350" "50" 0 4 1 1 0 "Europe" "Manual"
"351" "70" 0.125 1 1 0 0 "Europe" "Clerical"
"352" "60" 0.0625 1 1 0 0 "Europe" "Clerical"
"353" "70" 0 1 1 1 0 "Europe" "Manual"
"354" "70" 0.125 1 1 0 0 "Europe" "Clerical"
"355" "60" 0.0625 1 1 0 0 "Europe" "Manual"
"356" "60" 0.1875 1 1 0 0 "Europe" "Clerical"
"357" "30" 0 4 0 1 0 "Pacific" "Manual"
"358" "30" 0 4 0 1 0 "Pacific" "Manual"
"359" "30" 0 1 0 1 0 "Pacific" "Manual"
"360" "30" 0 1 0 1 0 "Pacific" "Manual"
"361" "30" 0 4 1 1 0 "Pacific" "Manual"
"362" "30" 0 1 1 2 0 "Pacific" "Manual"
"363" "30" 0 1 0 2 0 "Pacific" "Manual"
"364" "30" 0 1 0 2 0 "Pacific" "Manual"
"365" "30" 0 4 0 0 1 "Pacific" "Manual"
"366" "30" 0 2 0 0 1 "Pacific" "Manual"
"367" "30" 0.0625 1 1 0 0 "Pacific" "Clerical"
"368" "30" 0.0625 1 1 0 0 "Pacific" "Clerical"
"369" "30" 0 2 0 0 1 "Pacific" "Manual"
"370" "30" 0.0625 1 0 0 0 "Pacific" "Clerical"
"371" "30" 0.0625 1 1 0 0 "Pacific" "Clerical"
"372" "30" 0.0625 1 1 0 0 "Pacific" "Clerical"
"373" "30" 0.0625 1 1 0 0 "Pacific" "Clerical"
"374" "60" 0.125 1 1 0 0 "Europe" "Clerical"
"375" "60" 0.125 1 1 0 0 "Europe" "Clerical"
"376" "60" 0.125 1 1 0 0 "Europe" "Clerical"
"377" "60" 0.1875 1 1 0 0 "Europe" "Clerical"
"378" "50" 0.125 1 1 0 0 "Europe" "Clerical"
"379" "50" 0 4 0 1 1 "Europe" "Manual"
"380" "40" 0 4 1 1 1 "Europe" "Manual"
"381" "50" 0.0625 2 1 1 0 "Europe" "Manual"
"382" "40" 0.0625 4 1 1 0 "Europe" "Manual"
"383" "40" 0.0625 4 1 1 0 "Europe" "Manual"
"384" "50" 0.125 1 1 0 0 "Europe" "Clerical"
"385" "40" 0.125 1 1 0 0 "Europe" "Clerical"
"386" "40" 0.125 1 1 0 0 "Europe" "Clerical"
"387" "40" 0.125 1 1 0 0 "Europe" "Clerical"
"388" "50" 0.1875 1 1 0 0 "Europe" "Clerical"
"389" "50" 0.1875 1 1 0 0 "Europe" "Clerical"
"390" "30" 0 4 0 1 1 "Europe" "Manual"
"391" "40" 0 4 0 1 1 "Europe" "Manual"
"392" "40" 0 1 1 0 2 "Europe" "Manual"
"393" "30" 0 1 1 0 2 "Europe" "Manual"
"394" "40" 0 1 1 0 2 "Europe" "Manual"
"395" "40" 0 1 1 0 2 "Europe" "Manual"
"396" "40" 0.125 1 1 0 0 "Europe" "Clerical"
"397" "40" 0 1 0 1 2 "Europe" "Manual"
"398" "40" 0.0625 1 0 1 0 "Europe" "Manual"
"399" "40" 0.125 1 1 0 0 "Europe" "Clerical"
"400" "40" 0.125 1 1 0 0 "Europe" "Clerical"
"401" "30" 0.1875 1 1 0 0 "Europe" "Clerical"
"402" "40" 0.1875 1 1 0 0 "Europe" "Clerical"
"403" "40" 0.1875 1 1 0 0 "Europe" "Clerical"
"404" "30" 0.1875 1 1 0 0 "Europe" "Clerical"
"405" "50" 0 1 0 2 0 "Europe" "Manual"
"406" "50" 0 1 0 2 0 "Europe" "Manual"
"407" "50" 0.0625 4 1 1 0 "Europe" "Manual"
"408" "50" 0.0625 1 1 1 0 "Europe" "Manual"
"409" "50" 0 1 0 2 1 "Europe" "Manual"
"410" "30" 0 1 1 1 2 "Europe" "Manual"
"411" "40" 0.0625 4 1 0 1 "Europe" "Manual"
"412" "50" 0.4375 4 0 1 2 "Europe" "Professional"
"413" "50" 0.4375 3 1 1 2 "Europe" "Professional"
"414" "50" 0.4375 4 0 1 2 "Europe" "Professional"
"415" "50" 0.4375 3 1 1 2 "Europe" "Professional"
"416" "60" 0.5 3 0 2 0 "Europe" "Professional"
"417" "60" 0.3125 4 1 4 1 "Europe" "Skilled Manual"
"418" "60" 0.375 3 1 2 1 "Europe" "Professional"
"419" "60" 0.5 3 0 2 0 "Europe" "Professional"
"420" "60" 0.875 1 1 4 4 "Europe" "Management"
"421" "60" 0.5625 3 1 4 3 "Europe" "Management"
"422" "60" 0.625 5 1 4 4 "Europe" "Management"
"423" "60" 1 5 1 3 4 "Europe" "Management"
"424" "50" 0.4375 4 0 1 2 "Europe" "Professional"
"425" "50" 0.4375 3 1 2 2 "Europe" "Professional"
"426" "50" 0.5 3 1 2 2 "Europe" "Professional"
"427" "50" 0.625 3 1 4 4 "Europe" "Management"
"428" "50" 0.625 3 1 2 5 "Europe" "Professional"
"429" "50" 0.6875 3 1 2 5 "Europe" "Management"
"430" "50" 0.4375 3 1 2 1 "Europe" "Professional"
"431" "50" 0.5 3 1 2 1 "Europe" "Professional"
"432" "40" 0.625 3 1 2 5 "Europe" "Professional"
"433" "60" 0.4375 3 1 2 2 "Europe" "Professional"
"434" "60" 0.4375 4 0 2 2 "Europe" "Professional"
"435" "50" 1 1 1 4 5 "Europe" "Professional"
"436" "60" 0.5625 3 1 4 4 "Europe" "Management"
"437" "60" 0.9375 3 0 4 5 "Europe" "Management"
"438" "60" 0.5 3 1 3 1 "Europe" "Management"
"439" "60" 0.75 1 1 4 5 "Europe" "Management"
"440" "60" 0.5 5 0 3 1 "Europe" "Management"
"441" "60" 0.4375 5 0 2 0 "Europe" "Skilled Manual"
"442" "60" 0.5 5 0 2 0 "Europe" "Skilled Manual"
"443" "60" 0.5 3 1 2 0 "Europe" "Skilled Manual"
"444" "30" 0.3125 4 0 4 0 "Pacific" "Professional"
"445" "30" 0.375 3 1 3 0 "Pacific" "Professional"
"446" "30" 0.375 3 0 3 0 "Pacific" "Professional"
"447" "30" 0.375 3 0 3 0 "Pacific" "Professional"
"448" "30" 0.375 3 1 4 0 "Pacific" "Professional"
"449" "30" 0.4375 3 1 3 0 "Pacific" "Professional"
