BikeBuyer,Age,YearlyIncome,CommuteDistance,HouseOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,EnglishOccupation,MaritalStatus,Gender,EnglishEducation,Region
1,49,70000,5-10 Miles,1,1,0,1,Skilled Manual,S,M,Partial College,Pacific
1,49,60000,5-10 Miles,1,1,0,1,Professional,M,M,Bachelors,Pacific
1,44,60000,5-10 Miles,1,1,0,1,Skilled Manual,M,M,Partial College,Pacific
0,50,60000,0-1 Miles,0,1,0,1,Skilled Manual,S,F,Partial College,Pacific
1,50,60000,0-1 Miles,1,1,0,1,Professional,M,M,Bachelors,Pacific
1,51,60000,5-10 Miles,1,1,0,1,Skilled Manual,S,F,Partial College,Pacific
1,46,70000,0-1 Miles,0,1,0,0,Professional,S,F,Bachelors,Pacific
0,46,80000,1-2 Miles,1,4,5,5,Professional,S,F,Bachelors,Pacific
1,36,70000,5-10 Miles,1,1,0,0,Professional,S,F,Bachelors,Pacific
1,42,70000,0-1 Miles,0,1,0,0,Professional,M,M,Bachelors,Pacific
1,47,70000,5-10 Miles,0,1,0,0,Professional,S,F,Bachelors,Pacific
1,47,70000,5-10 Miles,0,1,0,0,Professional,S,M,Bachelors,Pacific
1,41,90000,5-10 Miles,1,1,0,1,Professional,M,F,Bachelors,Pacific
1,48,70000,0-1 Miles,0,2,0,0,Professional,S,F,Bachelors,Pacific
1,37,70000,0-1 Miles,0,2,0,0,Professional,S,M,Bachelors,Pacific
1,49,60000,5-10 Miles,1,1,0,1,Skilled Manual,M,M,Partial College,Pacific
1,49,60000,0-1 Miles,1,1,0,1,Skilled Manual,M,F,Partial College,Pacific
1,49,60000,0-1 Miles,1,1,0,1,Skilled Manual,M,F,Partial College,Pacific
0,44,70000,5-10 Miles,1,2,4,5,Professional,M,M,Bachelors,Pacific
0,49,70000,5-10 Miles,1,2,4,5,Skilled Manual,S,F,Partial College,Pacific
0,49,70000,0-1 Miles,1,2,4,5,Skilled Manual,M,M,Partial College,Pacific
0,38,70000,5-10 Miles,1,2,4,5,Skilled Manual,M,M,Partial College,Pacific
1,50,70000,10+ Miles,1,3,4,5,Skilled Manual,M,F,Partial College,Pacific
0,54,80000,0-1 Miles,0,1,0,1,Skilled Manual,S,M,Partial College,Pacific
0,76,30000,0-1 Miles,0,2,0,2,Clerical,S,M,Partial College,Pacific
1,75,40000,5-10 Miles,1,1,0,2,Management,S,F,Bachelors,Pacific
0,51,70000,10+ Miles,1,3,4,5,Skilled Manual,M,M,Partial College,Pacific
0,51,70000,5-10 Miles,1,3,4,5,Skilled Manual,M,M,Partial College,Pacific
0,51,70000,10+ Miles,1,3,4,5,Skilled Manual,M,M,Partial College,Pacific
1,48,80000,5-10 Miles,1,1,0,1,Skilled Manual,S,M,Partial College,Pacific
0,55,70000,5-10 Miles,1,1,0,1,Skilled Manual,S,F,Partial College,Pacific
1,62,10000,0-1 Miles,0,2,1,2,Skilled Manual,M,M,High School,Pacific
0,36,40000,5-10 Miles,1,1,0,0,Skilled Manual,M,F,High School,North America
0,36,40000,5-10 Miles,1,1,0,0,Skilled Manual,M,F,High School,North America
1,36,40000,5-10 Miles,1,1,0,0,Skilled Manual,S,F,High School,North America
0,31,30000,5-10 Miles,1,2,0,0,Skilled Manual,M,F,High School,North America
0,31,30000,0-1 Miles,0,2,0,0,Skilled Manual,M,F,High School,North America
1,31,30000,5-10 Miles,0,2,0,0,Skilled Manual,S,F,High School,North America
0,31,30000,0-1 Miles,0,2,0,0,Clerical,S,F,Partial High School,North America
1,60,10000,5-10 Miles,1,2,0,5,Skilled Manual,S,M,High School,Pacific
1,32,30000,5-10 Miles,0,2,0,0,Clerical,S,M,Partial High School,North America
1,33,40000,0-1 Miles,0,2,0,0,Skilled Manual,S,F,High School,North America
0,33,40000,5-10 Miles,1,2,0,0,Skilled Manual,M,F,High School,North America
0,33,40000,0-1 Miles,0,2,0,0,Skilled Manual,M,F,High School,North America
0,67,30000,5-10 Miles,0,2,0,2,Clerical,S,F,Partial College,Pacific
0,34,30000,5-10 Miles,0,2,0,0,Clerical,S,M,Partial High School,North America
0,34,40000,0-1 Miles,0,2,0,0,Skilled Manual,M,F,High School,North America
0,34,40000,0-1 Miles,0,2,0,0,Skilled Manual,S,M,High School,North America
0,34,40000,5-10 Miles,1,2,0,0,Skilled Manual,M,M,High School,North America
1,32,40000,0-1 Miles,0,2,0,0,Skilled Manual,S,M,High School,North America
1,32,40000,0-1 Miles,0,2,0,0,Skilled Manual,S,F,High School,North America
0,72,40000,5-10 Miles,1,2,0,2,Management,S,F,Bachelors,Pacific
1,72,60000,0-1 Miles,1,1,0,2,Management,M,M,Graduate Degree,Pacific
0,70,40000,5-10 Miles,1,2,0,2,Management,M,M,Bachelors,Pacific
0,70,40000,0-1 Miles,1,2,0,2,Management,M,M,Bachelors,Pacific
0,70,40000,5-10 Miles,1,2,0,2,Management,S,M,Bachelors,Pacific
1,69,60000,0-1 Miles,0,1,0,2,Management,S,F,Graduate Degree,Pacific
1,35,40000,5-10 Miles,1,2,0,0,Skilled Manual,S,M,High School,North America
0,35,40000,5-10 Miles,1,2,0,0,Skilled Manual,M,F,High School,North America
1,35,40000,5-10 Miles,1,1,0,0,Skilled Manual,S,F,Partial College,North America
1,35,40000,1-2 Miles,0,1,0,0,Skilled Manual,S,M,Partial College,North America
1,35,40000,1-2 Miles,0,1,0,0,Skilled Manual,S,F,Partial College,North America
0,36,40000,5-10 Miles,1,2,0,0,Skilled Manual,M,F,High School,North America
1,36,40000,5-10 Miles,1,2,0,0,Skilled Manual,S,M,High School,North America
0,36,40000,1-2 Miles,0,2,0,0,Skilled Manual,S,F,High School,North America
1,37,40000,5-10 Miles,0,1,0,0,Skilled Manual,S,M,Partial College,North America
0,37,40000,1-2 Miles,0,1,0,0,Skilled Manual,S,F,Partial College,North America
1,37,40000,5-10 Miles,1,1,0,0,Skilled Manual,S,M,Partial College,North America
0,37,40000,5-10 Miles,1,1,0,0,Skilled Manual,M,M,Partial College,North America
0,37,40000,1-2 Miles,0,1,0,0,Skilled Manual,S,M,Partial College,North America
0,38,60000,1-2 Miles,0,1,0,0,Skilled Manual,M,F,Partial College,North America
0,39,70000,0-1 Miles,0,2,0,0,Skilled Manual,S,F,Partial College,North America
1,39,80000,0-1 Miles,0,1,0,0,Management,S,F,Bachelors,North America
1,43,80000,0-1 Miles,0,1,0,0,Management,S,M,Bachelors,North America
0,43,90000,0-1 Miles,1,1,4,4,Management,M,M,Bachelors,North America
0,43,90000,0-1 Miles,1,1,4,4,Management,M,F,Bachelors,North America
1,38,100000,1-2 Miles,1,2,0,1,Management,S,M,Bachelors,North America
0,44,100000,1-2 Miles,1,2,0,1,Management,M,F,Bachelors,North America
0,44,110000,0-1 Miles,0,4,0,0,Management,S,F,Graduate Degree,North America
0,44,110000,2-5 Miles,1,0,1,0,Management,M,M,Graduate Degree,North America
1,48,70000,5-10 Miles,1,2,0,0,Skilled Manual,S,M,Partial College,North America
0,38,90000,1-2 Miles,1,1,4,4,Management,M,M,Bachelors,North America
0,69,110000,5-10 Miles,1,2,4,2,Management,M,M,Graduate Degree,North America
0,62,100000,1-2 Miles,1,3,3,2,Management,M,M,Graduate Degree,North America
0,57,120000,5-10 Miles,1,3,4,2,Management,M,F,Graduate Degree,North America
0,69,160000,0-1 Miles,1,4,3,1,Management,M,F,Bachelors,North America
0,57,170000,0-1 Miles,1,2,3,2,Management,M,M,Graduate Degree,North America
0,67,70000,10+ Miles,1,2,0,4,Management,S,F,Bachelors,North America
0,67,70000,10+ Miles,1,2,0,4,Management,S,F,Bachelors,North America
0,61,70000,10+ Miles,1,2,0,4,Management,S,F,Bachelors,North America
0,67,70000,10+ Miles,1,2,0,4,Management,S,F,Bachelors,North America
0,67,70000,10+ Miles,1,2,0,4,Management,S,F,Bachelors,North America
0,67,60000,10+ Miles,1,2,0,4,Management,M,F,Graduate Degree,North America
0,67,60000,1-2 Miles,0,2,0,4,Management,M,F,Graduate Degree,North America
1,67,60000,10+ Miles,1,2,0,4,Management,S,M,Graduate Degree,North America
0,67,70000,10+ Miles,1,2,0,5,Management,M,M,Bachelors,North America
1,66,70000,10+ Miles,1,3,0,5,Management,S,F,Bachelors,North America
0,66,60000,2-5 Miles,1,2,0,4,Management,M,M,Bachelors,North America
0,66,60000,2-5 Miles,1,2,0,4,Management,M,M,Bachelors,North America
0,66,60000,2-5 Miles,1,2,0,4,Management,M,F,Bachelors,North America
0,65,60000,10+ Miles,1,3,0,5,Management,M,F,Bachelors,North America
0,65,60000,10+ Miles,1,3,0,5,Management,M,M,Bachelors,North America
0,65,70000,1-2 Miles,0,1,1,3,Management,M,F,Bachelors,North America
0,65,70000,10+ Miles,1,1,1,4,Management,S,F,Bachelors,North America
0,59,70000,10+ Miles,1,1,1,4,Management,M,F,Bachelors,North America
0,64,70000,1-2 Miles,1,1,1,4,Management,M,M,Bachelors,North America
0,64,70000,10+ Miles,1,1,1,4,Management,M,F,Bachelors,North America
0,58,80000,1-2 Miles,0,2,0,5,Management,M,F,Bachelors,North America
0,57,40000,10+ Miles,1,2,1,2,Professional,M,M,High School,North America
0,63,40000,2-5 Miles,1,2,1,2,Professional,M,F,High School,North America
0,63,40000,10+ Miles,1,2,1,2,Professional,M,F,High School,North America
0,63,60000,10+ Miles,1,1,1,2,Professional,M,M,Partial College,North America
0,63,60000,10+ Miles,1,1,1,2,Professional,S,F,Partial College,North America
0,63,60000,10+ Miles,1,0,1,2,Management,M,F,Bachelors,North America
0,63,60000,10+ Miles,1,0,1,2,Management,M,F,Bachelors,North America
0,63,70000,10+ Miles,1,2,1,4,Professional,M,M,Partial College,North America
0,56,40000,2-5 Miles,1,2,1,2,Professional,M,F,High School,North America
0,62,40000,2-5 Miles,1,2,1,2,Professional,M,F,High School,North America
0,62,60000,10+ Miles,1,2,1,2,Professional,S,F,Partial College,North America
0,62,60000,10+ Miles,1,2,1,2,Professional,S,M,Partial College,North America
0,56,40000,10+ Miles,1,2,1,2,Skilled Manual,M,F,Partial High School,North America
1,61,60000,10+ Miles,1,2,1,2,Professional,S,F,Partial College,North America
1,61,60000,10+ Miles,1,2,1,2,Professional,S,F,Partial College,North America
0,55,60000,2-5 Miles,0,2,1,2,Professional,S,F,Partial College,North America
0,61,60000,10+ Miles,1,2,1,2,Professional,M,M,High School,North America
0,56,60000,10+ Miles,1,1,1,2,Professional,M,F,Partial College,North America
0,61,70000,1-2 Miles,1,1,2,4,Professional,M,M,Partial College,North America
0,61,80000,1-2 Miles,1,1,1,3,Management,M,F,Bachelors,North America
0,60,70000,2-5 Miles,1,2,1,2,Professional,S,F,High School,North America
1,60,70000,10+ Miles,1,2,1,2,Professional,S,F,High School,North America
0,55,60000,10+ Miles,1,1,1,2,Professional,M,F,Partial College,North America
0,54,60000,2-5 Miles,1,1,1,2,Professional,M,F,Partial College,North America
1,54,60000,10+ Miles,1,2,1,2,Professional,S,M,Partial College,North America
0,60,60000,10+ Miles,1,2,1,2,Professional,M,F,Partial College,North America
0,60,70000,10+ Miles,1,1,2,4,Professional,S,M,Partial College,North America
0,60,70000,2-5 Miles,0,2,2,4,Professional,M,F,Partial College,North America
0,53,60000,10+ Miles,1,2,1,2,Professional,M,M,High School,North America
0,59,60000,2-5 Miles,0,2,1,3,Professional,M,F,High School,North America
0,53,70000,10+ Miles,1,2,2,4,Professional,M,M,Partial College,North America
0,59,70000,10+ Miles,1,2,2,4,Professional,S,F,Partial College,North America
0,59,70000,10+ Miles,1,2,2,4,Professional,M,M,Partial College,North America
0,59,70000,10+ Miles,1,2,2,5,Professional,S,M,Partial College,North America
1,53,130000,0-1 Miles,0,4,3,2,Management,S,M,Bachelors,Europe
1,53,130000,0-1 Miles,0,4,3,2,Management,S,F,Bachelors,Europe
1,47,130000,5-10 Miles,0,2,4,2,Professional,M,F,Partial College,Europe
1,53,160000,5-10 Miles,1,4,3,2,Professional,M,F,Partial College,Europe
1,43,100000,5-10 Miles,1,4,3,2,Professional,S,F,Partial College,Europe
1,54,110000,5-10 Miles,1,3,4,2,Professional,M,M,Partial College,Europe
1,54,150000,0-1 Miles,1,3,3,2,Professional,M,F,Partial College,Europe
1,48,170000,0-1 Miles,0,3,3,2,Management,S,F,Bachelors,Europe
1,55,120000,5-10 Miles,0,4,4,3,Professional,M,M,High School,Europe
1,55,120000,5-10 Miles,0,4,4,3,Professional,M,F,High School,Europe
1,55,130000,0-1 Miles,0,3,4,3,Professional,S,F,Partial College,Europe
0,51,110000,10+ Miles,1,4,4,3,Professional,M,M,Partial College,Europe
1,50,130000,0-1 Miles,1,3,4,3,Professional,M,F,Partial College,Europe
1,51,170000,5-10 Miles,1,2,4,3,Professional,M,F,High School,Europe
1,79,30000,5-10 Miles,0,2,0,4,Professional,S,M,High School,North America
1,79,90000,2-5 Miles,1,1,0,3,Management,S,M,Graduate Degree,North America
0,67,60000,1-2 Miles,1,2,0,2,Management,M,M,Graduate Degree,North America
0,78,70000,5-10 Miles,1,2,0,4,Management,M,M,Graduate Degree,North America
0,78,70000,5-10 Miles,1,2,0,4,Management,M,M,Graduate Degree,North America
0,78,70000,5-10 Miles,1,2,0,4,Management,M,F,Graduate Degree,North America
1,78,120000,2-5 Miles,1,4,2,1,Management,S,F,Graduate Degree,North America
0,78,120000,2-5 Miles,1,4,2,1,Management,M,M,Graduate Degree,North America
1,46,100000,2-5 Miles,1,4,1,4,Professional,M,F,Partial College,North America
0,41,110000,2-5 Miles,1,3,2,2,Management,M,F,Bachelors,North America
1,46,130000,0-1 Miles,1,1,2,1,Management,M,F,Graduate Degree,North America
0,42,80000,0-1 Miles,1,0,3,4,Management,M,F,Bachelors,North America
1,47,90000,2-5 Miles,1,3,5,5,Professional,M,F,Partial College,North America
1,47,90000,0-1 Miles,0,3,5,5,Professional,S,M,Partial College,North America
1,47,90000,0-1 Miles,1,3,5,5,Professional,M,F,Partial College,North America
1,47,90000,5-10 Miles,0,1,0,0,Professional,S,F,Partial College,North America
1,41,120000,2-5 Miles,1,4,2,4,Professional,S,M,Partial College,North America
0,47,130000,1-2 Miles,1,2,2,2,Management,M,F,Graduate Degree,North America
0,41,130000,0-1 Miles,1,2,2,2,Management,M,M,Graduate Degree,North America
1,42,130000,0-1 Miles,1,3,2,2,Management,M,M,Graduate Degree,North America
1,47,150000,1-2 Miles,0,4,0,2,Management,S,F,Bachelors,North America
1,55,70000,5-10 Miles,1,0,3,4,Professional,S,F,Partial College,North America
0,55,90000,10+ Miles,1,0,1,2,Professional,M,M,Partial College,North America
1,77,50000,5-10 Miles,1,2,0,2,Management,M,M,Graduate Degree,North America
1,77,80000,0-1 Miles,1,2,0,4,Management,M,F,Graduate Degree,North America
0,42,80000,2-5 Miles,1,2,3,4,Professional,M,F,Partial College,North America
0,48,80000,0-1 Miles,1,2,3,4,Professional,M,M,Partial College,North America
1,48,90000,10+ Miles,0,1,0,0,Professional,S,M,Partial College,North America
0,42,90000,10+ Miles,1,1,0,0,Professional,M,F,Partial College,North America
0,48,90000,10+ Miles,1,1,0,0,Professional,M,M,Partial College,North America
1,42,110000,5-10 Miles,1,4,2,4,Management,S,F,Bachelors,North America
1,49,90000,1-2 Miles,1,4,4,5,Professional,M,M,Partial College,North America
0,49,110000,1-2 Miles,1,2,3,1,Management,M,M,Bachelors,North America
0,49,110000,1-2 Miles,1,2,3,1,Management,M,F,Bachelors,North America
0,44,120000,2-5 Miles,0,4,3,1,Professional,M,M,Partial College,North America
1,49,170000,2-5 Miles,1,4,0,0,Management,M,M,Graduate Degree,North America
0,50,70000,5-10 Miles,0,3,4,5,Professional,M,M,Partial College,North America
0,39,110000,2-5 Miles,1,3,3,1,Management,M,F,Bachelors,North America
1,45,130000,0-1 Miles,1,1,3,1,Management,M,F,Bachelors,North America
1,44,130000,2-5 Miles,1,3,3,1,Management,M,F,Bachelors,North America
1,45,130000,2-5 Miles,1,3,3,1,Management,M,F,Bachelors,North America
1,50,150000,0-1 Miles,0,3,2,1,Professional,S,M,Partial College,North America
0,56,60000,1-2 Miles,0,2,0,2,Professional,S,M,High School,North America
0,56,60000,1-2 Miles,0,2,0,2,Professional,M,M,High School,North America
1,57,80000,5-10 Miles,1,2,0,2,Skilled Manual,S,F,Partial High School,North America
1,76,50000,5-10 Miles,1,2,0,2,Management,S,F,Graduate Degree,North America
1,76,70000,5-10 Miles,1,2,0,4,Management,S,M,Graduate Degree,North America
1,76,70000,1-2 Miles,1,2,0,4,Management,M,M,Graduate Degree,North America
1,75,70000,1-2 Miles,1,2,0,4,Management,M,M,Graduate Degree,North America
0,51,80000,1-2 Miles,0,3,4,5,Professional,M,M,Partial College,North America
0,51,80000,5-10 Miles,1,4,4,5,Professional,M,M,Partial College,North America
1,45,90000,1-2 Miles,0,3,3,4,Professional,S,M,High School,North America
1,51,90000,1-2 Miles,0,3,3,4,Professional,S,F,High School,North America
0,46,100000,5-10 Miles,1,0,3,0,Professional,M,F,Partial College,North America
0,51,110000,2-5 Miles,0,4,3,3,Professional,M,M,Partial College,North America
0,51,110000,2-5 Miles,0,4,3,3,Professional,M,M,Partial College,North America
1,51,80000,5-10 Miles,1,2,0,2,Skilled Manual,M,M,Partial High School,North America
0,57,60000,1-2 Miles,0,2,0,2,Professional,M,M,High School,North America
0,57,60000,5-10 Miles,1,2,0,2,Professional,S,F,High School,North America
0,52,70000,5-10 Miles,1,2,0,3,Management,S,F,Graduate Degree,North America
0,58,70000,1-2 Miles,0,2,0,3,Management,S,F,Graduate Degree,North America
0,58,70000,5-10 Miles,1,2,0,3,Management,S,F,Graduate Degree,North America
0,58,70000,5-10 Miles,1,2,0,3,Management,S,M,Graduate Degree,North America
0,47,70000,1-2 Miles,0,2,0,3,Management,S,F,Graduate Degree,North America
0,58,70000,1-2 Miles,0,2,0,3,Management,S,F,Graduate Degree,North America
1,58,60000,5-10 Miles,1,2,0,3,Management,M,M,Graduate Degree,North America
1,53,40000,5-10 Miles,0,2,0,3,Professional,S,F,Partial College,North America
0,59,40000,1-2 Miles,0,2,0,3,Professional,S,F,Partial College,North America
1,69,70000,1-2 Miles,0,2,0,4,Management,M,F,Graduate Degree,North America
0,74,80000,5-10 Miles,1,2,0,4,Management,M,F,Graduate Degree,North America
0,73,90000,5-10 Miles,1,2,0,5,Management,M,M,Bachelors,North America
0,73,90000,5-10 Miles,1,2,0,5,Management,M,F,Bachelors,North America
1,73,120000,5-10 Miles,1,3,4,2,Management,S,M,Graduate Degree,North America
1,72,90000,1-2 Miles,1,2,0,5,Management,M,M,Bachelors,North America
1,72,90000,5-10 Miles,1,2,0,5,Management,S,M,Bachelors,North America
1,72,130000,0-1 Miles,1,4,3,2,Management,M,M,Bachelors,North America
1,71,90000,5-10 Miles,1,2,0,5,Management,M,M,Bachelors,North America
1,72,90000,5-10 Miles,1,2,0,5,Management,M,M,Bachelors,North America
1,71,90000,5-10 Miles,1,2,0,5,Management,S,M,Bachelors,North America
0,71,110000,2-5 Miles,1,1,4,2,Management,M,M,Graduate Degree,North America
0,43,90000,1-2 Miles,1,2,4,4,Skilled Manual,M,F,Partial College,North America
1,49,10000,0-1 Miles,1,0,0,1,Manual,S,F,Graduate Degree,Europe
1,49,20000,0-1 Miles,1,0,0,1,Clerical,M,F,Graduate Degree,Europe
1,50,10000,0-1 Miles,1,0,0,1,Manual,M,F,Bachelors,Europe
1,39,10000,0-1 Miles,1,0,0,1,Manual,M,F,Bachelors,Europe
1,44,20000,0-1 Miles,1,0,0,1,Clerical,M,M,Graduate Degree,Europe
1,50,10000,0-1 Miles,1,0,0,1,Manual,M,M,Bachelors,Europe
